date,fremont_bridge_nb,fremont_bridge_sb
2017-06-17T23:00:00.000,16,7
2017-06-16T16:00:00.000,374,108
2017-06-14T13:00:00.000,98,48
2017-06-07T05:00:00.000,57,39
2017-06-15T19:00:00.000,93,25
2017-06-12T11:00:00.000,84,43
2017-06-27T11:00:00.000,88,43
2017-06-14T04:00:00.000,10,6
2017-06-14T15:00:00.000,168,65
2017-06-28T22:00:00.000,52,23
2017-06-09T00:00:00.000,11,4
2017-06-24T01:00:00.000,10,2
2017-06-08T17:00:00.000,467,123
2017-06-30T01:00:00.000,14,7
2017-06-24T18:00:00.000,138,69
2017-06-22T11:00:00.000,122,68
2017-06-26T03:00:00.000,2,0
2017-06-14T16:00:00.000,318,88
2017-06-17T11:00:00.000,213,91
2017-06-17T02:00:00.000,10,7
2017-06-05T18:00:00.000,497,136
2017-06-16T11:00:00.000,97,41
2017-06-27T12:00:00.000,82,37
2017-06-05T15:00:00.000,177,76
2017-06-09T13:00:00.000,98,56
2017-06-14T06:00:00.000,186,111
2017-06-19T18:00:00.000,488,139
2017-06-25T00:00:00.000,19,4
2017-06-29T23:00:00.000,26,14
2017-06-28T06:00:00.000,190,116
2017-06-27T21:00:00.000,98,48
2017-06-20T09:00:00.000,282,148
2017-06-09T07:00:00.000,327,192
2017-06-29T20:00:00.000,162,64
2017-06-19T20:00:00.000,161,63
2015-11-10T01:00:00.000,0,0
2017-06-17T13:00:00.000,30,16
2017-06-08T08:00:00.000,300,173
2017-06-09T19:00:00.000,149,56
2017-06-22T09:00:00.000,336,177
2017-06-01T15:00:00.000,148,65
2017-06-12T10:00:00.000,139,79
2017-06-16T05:00:00.000,39,26
2017-06-28T07:00:00.000,473,275
2017-06-08T09:00:00.000,173,85
2017-06-18T16:00:00.000,110,58
2017-06-25T18:00:00.000,95,50
2017-06-11T00:00:00.000,31,7
2017-06-24T20:00:00.000,110,43
2017-06-30T23:00:00.000,36,13
2017-06-16T09:00:00.000,243,126
2017-06-10T04:00:00.000,6,2
2017-06-12T21:00:00.000,54,12
2017-06-19T08:00:00.000,608,327
2017-06-30T20:00:00.000,119,43
2017-06-19T07:00:00.000,441,268
2017-06-03T14:00:00.000,141,72
2017-06-25T10:00:00.000,184,99
2017-06-19T23:00:00.000,24,7
2017-06-15T13:00:00.000,24,8
2017-06-01T04:00:00.000,9,6
2017-06-03T21:00:00.000,43,19
